ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,icao_code,iata_code,gps_code,local_code,coordinates
AGAF,small_airport,Afutara Aerodrome,23,OC,SB,SB-ML,Bila,AGAF,AFT,AGAF,,"-9.191389, 160.948611"
AGAR,small_airport,Ulawa Airport,40,OC,SB,SB-MK,Arona,AGAR,RNA,AGAR,,"-9.86054358262, 161.979546547"
AGAT,small_airport,Uru Harbour Airport,,OC,SB,SB-ML,Atoifi,AGAT,ATD,AGAT,,"-8.87333, 161.011002"
AGBA,small_airport,Barakoma Airport,,OC,SB,SB-WE,Barakoma,AGBA,VEV,AGBA,,"-7.912779808044434, 156.70599365234375"
AGBT,small_airport,Batuna Aerodrome,24,OC,SB,SB-WE,Batuna Mission Station,AGBT,BPF,AGBT,,"-8.56202777778, 158.119305556"
AGEV,small_airport,Geva Airport,,OC,SB,SB-WE,Liangia,AGEV,GEF,AGEV,,"-7.575829982757568, 156.5970001220703"
AGGA,small_airport,Gwaunaru'u Airport,5,OC,SB,SB-ML,Auki,AGGA,AKS,AGGA,,"-8.70257, 160.682007"
AGGB,small_airport,Bellona/Anua Airport,60,OC,SB,SB-RB,Anua,AGGB,BNY,AGGB,,"-11.302222222200001, 159.798333333"
AGGC,small_airport,Choiseul Bay Airport,,OC,SB,SB-CH,Choiseul Bay,AGGC,CHY,AGGC,,"-6.711944, 156.396111"
AGGE,small_airport,Ballalae Airport,5,OC,SB,SB-WE,Ballalae,AGGE,BAS,AGGE,,"-6.990745, 155.886656"
AGGF,small_airport,Fera/Maringe Airport,,OC,SB,SB-IS,Fera Island,AGGF,FRE,AGGF,,"-8.1075, 159.576996"
AGGH,large_airport,Honiara International Airport,28,OC,SB,SB-GU,Honiara,AGGH,HIR,AGGH,,"-9.428, 160.054993"
AGGI,small_airport,Babanakira Airport,,OC,SB,SB-GU,Mbambanakira,AGGI,MBU,AGGI,,"-9.7475, 159.839005"
AGGJ,small_airport,Avu Avu Airport,25,OC,SB,SB-GU,Avu Avu,AGGJ,AVU,AGGJ,,"-9.868333, 160.410556"
AGGK,small_airport,Ngorangora Airport,54,OC,SB,SB-MK,Kirakira,AGGK,IRA,AGGK,,"-10.449700355500001, 161.897994995"
AGGL,small_airport,Santa Cruz/Graciosa Bay/Luova Airport,18,OC,SB,SB-TE,Santa Cruz/Graciosa Bay/Luova,AGGL,SCZ,AGGL,,"-10.7203, 165.794998"
AGGM,medium_airport,Munda Airport,10,OC,SB,SB-WE,Munda,AGGM,MUA,AGGM,,"-8.32797, 157.263"
AGGN,small_airport,Nusatupe Airport,13,OC,SB,SB-WE,Gizo,AGGN,GZO,AGGN,,"-8.09778022766, 156.863998413"
AGGO,small_airport,Mono Airport,,OC,SB,SB-WE,Stirling Island,AGGO,MNY,AGGO,,"-7.416940212249756, 155.56500244140625"
AGGP,small_airport,Parasi Airport,,OC,SB,SB-ML,Parasi,AGGP,PRS,AGGP,,"-9.641670227050781, 161.4250030517578"
AGGR,small_airport,Rennell/Tingoa Airport,,OC,SB,SB-RB,Rennell Island,AGGR,RNL,AGGR,,"-11.55, 160.062778"
AGGS,small_airport,Sege Airport,,OC,SB,SB-WE,Sege,AGGS,EGM,AGGS,,"-8.57889, 157.876007"
